"","date","search","search_adj"
"322",2015-03-14,36,39.9607339726648
"323",2015-03-12,32,35.5206524201465
"324",2015-03-18,67,74.3713660046817
"325",2016-03-12,49,38.2439024390244
"326",2016-03-13,32,24.9756097560976
"327",2016-03-11,14,10.9268292682927
"328",2016-03-17,42,32.780487804878
"329",2016-03-14,68,53.0731707317073
"330",2016-03-15,41,32
"331",2016-03-16,41,32
"332",2017-03-15,44,66.8326324642557
"333",2017-03-18,34,51.6433978132885
"334",2017-03-12,37,56.2001682085786
"335",2017-03-13,70,106.32464255677
"336",2017-03-16,64,97.2111017661901
"337",2017-03-14,44,66.8326324642557
"338",2017-03-17,35,53.1623212783852
"339",2018-03-18,26,35.1790258321553
"340",2018-03-17,38,51.41549929315
"341",2018-03-16,33,44.6503020177355
"342",2018-03-13,37,50.0624598380671
"343",2018-03-12,11,14.8834340059118
"344",2018-03-14,63,85.2414856702223
"345",2018-03-15,43,58.1806965685645
"346",2019-03-18,18,35.6057930060049
"347",2019-03-17,15,29.6714941716708
"348",2019-03-15,28,55.3867891204521
"349",2019-03-16,16,31.6495937831155
"350",2019-03-12,22,43.5181914517838
"351",2019-03-14,27,53.4086895090074
"352",2019-03-13,23,45.4962910632285
"353",2004-03-23,0,0
"354",2004-03-21,0,0
"355",2004-03-19,0,0
"356",2004-03-24,53,429.207207207207
"357",2004-03-18,0,0
"358",2004-03-22,0,0
"359",2004-03-20,0,0
"360",2005-03-19,0,0
"361",2005-03-25,0,0
"362",2005-03-23,0,0
"363",2005-03-22,0,0
"364",2005-03-21,45,35.7676375196686
"365",2005-03-24,91,72.3301114286632
"366",2005-03-20,73,58.0230564207957
"367",2006-03-22,34,29.9448626454199
"368",2006-03-23,34,29.9448626454199
"369",2006-03-20,0,0
"370",2006-03-21,0,0
"371",2006-03-24,36,31.706325153974
"372",2006-03-25,54,47.559487730961
"373",2006-03-19,54,47.559487730961
"374",2007-03-25,0,0
"375",2007-03-24,40,73.4509931618365
"376",2007-03-23,28,51.4156952132856
"377",2007-03-21,26,47.7431455551937
"378",2007-03-19,26,47.7431455551937
"379",2007-03-20,46,84.468642136112
"380",2007-03-22,0,0
"381",2008-03-18,64,45.0397980974568
"382",2008-03-21,65,45.7435449427296
"383",2008-03-20,57,40.1135701805475
"384",2008-03-22,44,30.9648611920016
"385",2008-03-24,0,0
"386",2008-03-23,46,32.3723548825471
"387",2008-03-19,27,19.0011648223646
"388",2009-03-19,44,60.7246760116371
"389",2009-03-24,32,44.1634007357361
"390",2009-03-22,0,0
"391",2009-03-21,55,75.9058450145464
"392",2009-03-20,24,33.1225505518021
"393",2009-03-25,32,44.1634007357361
"394",2009-03-23,22,30.3623380058186
"395",2010-03-24,71,116.451882845188
"396",2010-03-19,29,47.5648535564854
"397",2010-03-25,35,57.4058577405858
"398",2010-03-22,17,27.8828451882845
"399",2010-03-21,26,42.6443514644351
"400",2010-03-20,27,44.2845188284519
"401",2010-03-23,34,55.765690376569
"402",2011-03-25,37,47.1046342174293
"403",2011-03-20,23,29.2812591081317
"404",2011-03-23,51,64.9280093267269
"405",2011-03-21,44,56.0163217720781
"406",2011-03-22,40,50.9239288837074
"407",2011-03-19,46,58.5625182162635
"408",2011-03-24,41,52.1970271058001
"409",2012-03-18,46,48.2272298637531
"410",2012-03-21,18,18.8715247292947
"411",2012-03-19,54,56.6145741878841
"412",2012-03-23,51,53.469320066335
"413",2012-03-24,46,48.2272298637531
"414",2012-03-20,24,25.1620329723929
"415",2012-03-22,67,70.2440087145969
"416",2013-03-25,54,50.3681885125184
"417",2013-03-22,52,48.5027000490918
"418",2013-03-19,22,20.5203730976927
"419",2013-03-23,70,65.2920962199313
"420",2013-03-21,44,41.0407461953854
"421",2013-03-24,30,27.9823269513991
"422",2013-03-20,22,20.5203730976927
"423",2014-03-21,49,49.1333348081943
"424",2014-03-23,25,25.0680279633645
"425",2014-03-19,27,27.0734702004336
"426",2014-03-25,33,33.0897969116411
"427",2014-03-20,34,34.0925180301757
"428",2014-03-24,40,40.1088447413831
"429",2014-03-22,25,25.0680279633645
"430",2015-03-22,32,22.0252841271868
"431",2015-03-25,64,44.0505682543736
"432",2015-03-24,57,39.2325373515515
"433",2015-03-21,36,24.7784446430852
"434",2015-03-19,71,48.8685991571958
"435",2015-03-23,64,44.0505682543736
"436",2015-03-20,58,39.9208274805261
"437",2016-03-22,14,12.3464566929134
"438",2016-03-20,16,14.1102362204724
"439",2016-03-19,33,29.1023622047244
"440",2016-03-21,48,42.3307086614173
"441",2016-03-23,49,43.2125984251969
"442",2016-03-24,36,31.748031496063
"443",2016-03-18,58,51.1496062992126
"444",2017-03-19,50,81.2763767370046
"445",2017-03-23,48,78.0253216675245
"446",2017-03-21,58,94.2805970149254
"447",2017-03-25,34,55.2679361811632
"448",2017-03-20,61,99.1571796191457
"449",2017-03-22,47,76.3997941327844
"450",2017-03-24,37,60.1445187853834
"451",2018-03-23,28,27.3126185958254
"452",2018-03-21,63,61.4533918406072
"453",2018-03-25,38,37.0671252371917
"454",2018-03-24,26,25.3617172675522
"455",2018-03-19,42,40.9689278937381
"456",2018-03-22,38,37.0671252371917
"457",2018-03-20,37,36.091674573055
"458",2019-03-19,28,48.1781376518219
"459",2019-03-24,18,30.9716599190283
"460",2019-03-21,28,48.1781376518219
"461",2019-03-23,19,32.6923076923077
"462",2019-03-22,27,46.4574898785425
"463",2019-03-25,35,60.2226720647773
"464",2019-03-20,27,46.4574898785425
"465",2004-03-25,0,0
"466",2004-03-28,0,0
"467",2004-03-29,38,33.8800869835353
"468",2004-03-30,35,31.2053432743088
"469",2004-03-26,0,0
"470",2004-03-27,65,57.9527803665735
"471",2004-03-31,36,32.0969245107176
"472",2005-03-26,0,0
"473",2005-04-01,49,105.087717651476
"474",2005-03-30,44,94.3644811564275
"476",2005-03-28,0,0
"477",2005-03-27,51,109.377012249495
"478",2005-03-31,0,0
"479",2005-03-29,0,0
"480",2006-03-26,54,81.1151359530469
"481",2006-03-31,36,54.0767573020313
"482",2006-04-01,0,0
"483",2006-03-30,35,52.5746251547526
"485",2006-03-28,33,49.5703608601953
"486",2006-03-29,34,51.072493007474
"487",2006-03-27,34,51.072493007474
"496",2008-03-30,37,66.4329685362517
"497",2008-03-27,39,70.0239398084815
"498",2008-03-28,27,48.4781121751026
"499",2008-03-29,56,100.547195622435
"500",2008-03-26,25,44.8871409028728
