sat,rank,satobs,mlhs,mcol,flhs,fcol,black,hisp,asian,female,rdsc,vocab,pict,lgsc,matsc,mosaic,nsib
0,98,0,0,0,0,0,0,0,0,0,59,54,64,54,67,47,1
0,17,0,1,0,1,0,0,0,0,1,46,48,36,39,40,40,3
0,71,0,0,1,0,1,0,0,0,1,68,69,48,57,58,50,5
760,88,1,0,0,0,1,0,0,0,1,61,57,50,61,55,56,1
0,10,0,0,0,0,0,0,0,0,0,37,51,43,36,42,53,2
0,27,0,0,0,0,0,0,0,0,0,29,36,33,28,28,38,3
890,32,1,0,0,0,1,0,0,0,0,51,51,50,54,58,48,2
0,90,0,0,0,0,1,0,0,0,1,64,63,58,57,54,51,1
820,50,1,0,1,0,0,0,0,0,1,51,60,46,59,55,54,2
0,92,0,0,0,0,0,0,0,0,0,61,48,44,57,60,57,2
810,81,1,0,1,0,1,0,0,0,1,62,54,65,52,52,53,2
1130,61,1,0,0,0,1,0,0,0,0,56,69,48,55,58,49,6
920,73,1,0,0,1,0,0,0,0,0,56,63,61,56,56,47,4
0,19,0,0,1,1,0,0,0,0,0,54,36,50,49,53,52,0
0,57,0,1,0,0,0,0,0,0,1,46,33,51,50,40,55,4
720,32,1,0,1,0,1,0,0,0,1,49,63,58,52,42,59,3
1020,83,1,0,1,0,1,0,0,0,0,62,58,64,58,64,54,1
970,43,1,1,0,1,0,0,0,0,1,64,58,49,48,62,50,2
0,62,0,1,0,0,1,0,0,0,1,35,37,32,50,42,45,7
0,95,0,0,1,0,1,0,0,0,0,59,60,65,59,65,54,3
0,27,0,1,0,1,0,0,0,0,1,29,40,43,42,37,43,3
1180,70,1,0,1,0,1,0,0,0,0,66,69,39,46,65,49,1
0,8,0,0,1,1,0,0,0,0,0,36,37,39,36,42,41,4
0,32,0,0,0,1,0,0,0,0,0,54,45,41,40,44,46,2
1190,93,1,0,0,0,1,0,0,0,0,64,72,66,57,67,59,1
0,91,0,0,0,0,1,0,0,0,1,61,53,66,64,55,62,3
0,98,0,1,0,0,1,0,0,0,1,68,72,64,64,65,57,2
770,68,1,0,0,0,0,0,0,0,1,50,43,52,58,55,51,4
0,68,0,1,0,1,0,1,0,0,1,44,40,42,47,38,37,4
0,73,0,0,0,0,0,1,0,0,0,46,42,58,57,51,76,5
1220,69,1,0,1,0,1,0,0,0,0,61,69,60,57,65,45,3
1100,83,1,0,0,0,1,0,0,0,0,64,54,64,61,56,47,3
0,89,0,0,0,0,0,0,0,0,0,66,66,64,63,65,68,2
820,73,1,0,0,0,1,0,0,0,1,62,55,46,59,58,49,4
0,28,0,1,0,1,0,0,0,0,1,42,45,43,37,38,52,8
0,82,0,0,1,0,0,0,0,0,1,56,54,66,52,54,56,1
0,69,0,1,0,0,0,0,0,0,1,46,57,66,49,44,50,1
0,45,0,1,0,0,0,0,0,0,1,56,54,46,60,64,48,5
1000,72,1,1,0,1,0,1,0,0,1,62,64,51,46,59,51,2
1150,96,1,0,1,0,0,0,0,1,0,61,60,62,61,64,47,2
1180,96,1,0,1,0,1,0,0,0,1,64,63,64,59,64,55,1
930,95,1,1,0,1,0,0,0,0,1,55,63,36,48,53,52,2
0,49,0,1,0,1,0,0,1,0,0,32,33,30,20,33,30,5
0,74,0,0,1,0,1,0,1,0,0,59,63,45,54,51,43,8
730,32,1,0,0,0,0,0,0,0,0,47,43,46,39,49,56,2
1070,76,1,0,0,0,1,0,0,0,1,61,61,65,64,64,54,0
740,45,1,0,0,0,1,0,0,0,0,61,56,51,54,60,51,5
910,67,1,0,1,0,0,0,0,0,0,54,55,55,50,55,53,1
790,40,1,0,0,0,1,0,0,0,1,51,48,55,63,46,53,1
1320,98,1,0,1,0,1,0,0,0,1,68,66,60,64,67,49,3
720,36,1,0,1,0,1,0,0,0,1,52,60,55,62,57,55,2
590,37,1,0,0,0,0,1,0,0,0,42,42,44,35,38,31,2
1050,79,1,0,0,0,0,0,0,0,1,54,64,44,52,51,39,2
0,60,0,0,0,0,0,0,0,0,0,49,54,59,47,45,52,6
0,5,0,1,0,1,0,0,1,0,1,49,51,53,40,33,44,4
